KEGG_ID1,KEGG_ID2,category,ORP_exp,KEGG_l,KEGG_r,smiles_r,smiles_l,ORP_GCM,ORP_PM7,ORP_DLPNO
C00233 + C00282 + C00014 = C00123 + C00001,C00233 + C00014 = C00123 + C00001,3,-234,"['C00233', 'C00014']","['C00123', 'C00001']",CC(C)C[C@H]([NH3+])C(O)=O,CC(C)CC(=O)C(O)=O,-241.37120051,-948.284738094,71.241761835
C00233 + C00282 + C00014 = C01570 + C00001,C00233 + C00014 = C01570 + C00001,3,-234,"['C00233', 'C00014']","['C01570', 'C00001']",CC(C)C[C@@H]([NH3+])C(O)=O,CC(C)CC(=O)C(O)=O,-241.37120051,-931.419913601,72.230244245
C00322 + C00282 + C00014 = C00956 + C00001,C00322 + C00014 = C00956 + C00001,3,-233,"['C00322', 'C00014']","['C00956', 'C00001']",[NH3+][C@@H](CCCC(O)=O)C(O)=O,OC(=O)CCCC(=O)C(O)=O,-241.348963296,-952.73607464,75.0205061728
C00026 + C00282 + C00014 = C00217 + C00001,C00026 + C00014 = C00217 + C00001,3,-232,"['C00026', 'C00014']","['C00217', 'C00001']",[NH3+][C@H](CCC(O)=O)C(O)=O,OC(=O)CCC(=O)C(O)=O,-241.355077387,-751.883773561,77.0757177977
C00166 + C00282 + C00014 = C00079 + C00001,C00166 + C00014 = C00079 + C00001,3,-230,"['C00166', 'C00014']","['C00079', 'C00001']",[NH3+][C@@H](Cc1ccccc1)C(O)=O,OC(=O)C(=O)Cc1ccccc1,-241.363247736,-743.721209109,82.1124221517
C00022 + C00282 + C00014 = C00041 + C00001,C00022 + C00014 = C00041 + C00001,3,-229,"['C00022', 'C00014']","['C00041', 'C00001']",C[C@H]([NH3+])C(O)=O,CC(=O)C(O)=O,-241.364625961,-765.538043501,74.2073881462
C00026 + C00282 + C00014 = C00025 + C00001,C00026 + C00014 = C00025 + C00001,3,-229,"['C00026', 'C00014']","['C00025', 'C00001']",[NH3+][C@@H](CCC(O)=O)C(O)=O,OC(=O)CCC(=O)C(O)=O,-241.355077387,-895.172282401,115.614481681
C00022 + C00282 + C00014 = C00133 + C00001,C00022 + C00014 = C00133 + C00001,3,-228,"['C00022', 'C00014']","['C00133', 'C00001']",C[C@@H]([NH3+])C(O)=O,CC(=O)C(O)=O,-241.364625961,-870.176954555,75.0292685273
C01179 + C00282 + C00014 = C00082 + C00001,C01179 + C00014 = C00082 + C00001,3,-227,"['C01179', 'C00014']","['C00082', 'C00001']",[NH3+][C@@H](Cc1ccc(O)cc1)C(O)=O,OC(=O)C(=O)Cc1ccc(O)cc1,-241.365041045,-816.454035129,87.7129646453
C04462 + C00282 + C00014 = C04421 + C00001,C04462 + C00014 = C04421 + C00001,3,-227,"['C04462', 'C00014']","['C04421', 'C00001']",[NH3+][C@@H](CCC[C@H](NC(=O)CCC(O)=O)C(O)=O)C(O)=O,OC(=O)CCC(=O)N[C@@H](CCCC(=O)C(O)=O)C(O)=O,-241.131577522,-865.714168999,-4.86761499522
C00250 + C00282 + C00014 = C00534 + C00001,C00250 + C00014 = C00534 + C00001,3,-226,"['C00250', 'C00014']","['C00534', 'C00001']",Cc1[nH+]cc(CO)c(C[NH3+])c1[O-],Cc1[nH+]cc(CO)c(C=O)c1[O-],-203.154651704,-707.541231393,
C05665 + C00282 + C00014 = C00986 + C00001,C05665 + C00014 = C00986 + C00001,3,-217,"['C05665', 'C00014']","['C00986', 'C00001']",[NH3+]CCC[NH3+],[NH3+]CCC=O,-203.430272161,-790.752819475,13.8868687528
C03167 + C00282 + C00014 = C03557 + C00001,C03167 + C00014 = C03557 + C00001,3,-214,"['C03167', 'C00014']","['C03557', 'C00001']",[NH3+]CCP(O)(O)=O,OP(O)(=O)CC=O,-203.405675383,-783.273027004,98.6676374673
C00036 + C00282 + C00014 = C00049 + C00001,C00036 + C00014 = C00049 + C00001,3,-214,"['C00036', 'C00014']","['C00049', 'C00001']",[NH3+][C@@H](CC(O)=O)C(O)=O,OC(=O)CC(=O)C(O)=O,-241.215809545,-944.059553936,69.3187053522
C00168 + C00282 + C00014 = C00065 + C00001,C00168 + C00014 = C00065 + C00001,3,-208,"['C00168', 'C00014']","['C00065', 'C00001']",[NH3+][C@@H](CO)C(O)=O,OCC(=O)C(O)=O,-241.256726076,-692.785762966,164.794299091
C00232 + C00282 + C00014 = C00334 + C00001,C00232 + C00014 = C00334 + C00001,3,-196,"['C00232', 'C00014']","['C00334', 'C00001']",[NH3+]CCCC(O)=O,OC(=O)CCC=O,-203.617665648,-812.125675685,81.3212609399
C00048 + C00282 + C00014 = C00037 + C00001,C00048 + C00014 = C00037 + C00001,3,-186,"['C00048', 'C00014']","['C00037', 'C00001']",[NH3+]CC(O)=O,OC(=O)C=O,-203.57808853,-656.182775417,209.041861824
C03232 + C00282 + C00014 = C01005 + C00001,C03232 + C00014 = C01005 + C00001,3,-171,"['C03232', 'C00014']","['C01005', 'C00001']",[NH3+][C@@H](COP(O)(O)=O)C(O)=O,OC(=O)C(=O)COP(O)(O)=O,-239.727752366,-753.791685028,242.949309837
