KEGG_ID,KEGG_redox_pair,category,ORP_exp,E0_exp_MSpH0_mM,ExpErr,double_reduction,remove
C02636 = C15025,C02636 = C15025,2,-196,233.5172067,-11.22357974,FALSE,FALSE
C00250 = C00314,C00250 = C00314,2,-192,274.795699,-11.28411787,FALSE,FALSE
C00022 = C00186,C00022 = C00186,2,-191,255.4136566,-3.712123784,FALSE,FALSE
C00026 = C01087,C00026 = C01087,2,-188,260.2604116,-11.22358014,FALSE,FALSE
C03926 = C02782,C03926 = C02782,2,-185,243.6865846,-15.60852456,FALSE,FALSE
C00036 = C00149,C00036 = C00149,2,-177,314.2149107,-3.262236021,FALSE,FALSE
C02780 = C15673,C02780 = C15673,2,-174,251.660907,-11.28411787,FALSE,FALSE
C00168 = C00258,C00168 = C00258,2,-169,278.1036113,-3.523332156,FALSE,FALSE
C00118 = C00093,C00118 = C00093,2,-169,259.2700966,-5.202008842,FALSE,FALSE
C00026 = C03196,C00026 = C03196,2,-166,282.839589,-16.79619365,FALSE,FALSE
C00424 = C00583,C00424 = C00583,2,-166,256.1653509,-8.276634115,FALSE,FALSE
C01244 = C04367,C01244 = C04367,2,-165,275.1365187,-15.60852456,FALSE,TRUE
C01146 = C00258,C01146 = C00258,2,-161,271.4981611,-9.313949494,FALSE,FALSE
C00067 = C00132,C00067 = C00132,2,-157,265.186075,-17.01207981,FALSE,FALSE
C03232 = C00197,C03232 = C00197,2,-155,304.5217722,-3.999880634,TRUE,FALSE
C00036 = C00497,C00036 = C00497,2,-129,362.1536593,-22.85088891,FALSE,FALSE
C00577 = C00116,C00577 = C00116,2,-129,292.9618242,-10.53913101,FALSE,FALSE
C03459 = C00552,C03459 = C00552,2,-126,365.7715737,-15.60852456,FALSE,FALSE
C00048 = C00160,C00048 = C00160,2,-103,346.147722,-5.244367656,FALSE,FALSE
C03656 + C00014 = C01186 + C00001,C03656 = C01186,3,-327,188.7379403,-6.475170367,FALSE,FALSE
C00940 + C00014 = C00064 + C00001,C00940 = C00064,3,-288,205.8083416,-11.99615323,FALSE,FALSE
C01267 + C00014 = C01100 + C00001,C01267 = C01100,3,-268,273.5234548,-15.66281325,FALSE,FALSE
C03459 + C00014 = C19838 + C00001,C03459 = C19838,3,-263,286.0388205,-15.66281325,FALSE,FALSE
C03341 + C00014 = C03943 + C00001,C03341 = C03943,3,-260,265.4289545,-15.60852456,FALSE,FALSE
C00222 + C00014 = C00099 + C00001,C00222 = C00099,3,-249,278.5832054,-15.84470921,FALSE,FALSE
C11907 + C00014 = C04268 + C00001,C11907 = C04268,3,-238,292.0707964,-15.66281325,FALSE,TRUE
C00233 + C00014 = C00123 + C00001,C00233 = C00123,3,-234,262.9293647,-8.654437665,FALSE,FALSE
C00233 + C00014 = C01570 + C00001,C00233 = C01570,3,-234,262.9290564,-17.61288922,FALSE,FALSE
C00322 + C00014 = C00956 + C00001,C00322 = C00956,3,-233,280.1982913,-15.66281325,FALSE,FALSE
C00026 + C00014 = C00217 + C00001,C00026 = C00217,3,-232,282.7850618,-11.63441354,FALSE,FALSE
C00166 + C00014 = C00079 + C00001,C00166 = C00079,3,-230,262.9910966,-11.29895708,FALSE,FALSE
C00022 + C00014 = C00041 + C00001,C00022 = C00041,3,-229,276.1796382,-3.967396451,FALSE,FALSE
