KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C00468,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,106,18,True,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,0,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C,0.0,-838.819790160256,-838.50468161,130.264
C00258,O=C(O)[C@H](O)CO,42,3,True,OC[C@@H](O)C(O)=O,0,OC[C@H](C(=O)O)O,0.0,-413.849785664724,-413.70728003,64.4
C00232,O=CCCC(=O)O,40,4,True,OC(=O)CCC=O,0,O=CCCC(=O)O,0.0,-377.0959025653049,-376.93669463,59.804
C00209,O=C(O)C(=O)O,34,2,True,OC(=O)C(O)=O,0,OC(=O)C(=O)O,0.0,-373.908551463955,-373.74552993,48.34
C00940,NC(=O)CCC(=O)C(=O)O,56,5,True,NC(=O)CCC(=O)C(O)=O,0,NC(=O)CCC(=O)C(=O)O,0.0,-543.774575975086,-543.54428151,59.624
C00392,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,74,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0,OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,0.0,-680.0883279499479,-679.90486144,67.328
C00160,O=C(O)CO,30,2,True,OCC(O)=O,0,OCC(=O)O,0.0,-300.687995388493,-300.57859978,53.93600000000001
C00256,C[C@@H](O)C(=O)O,36,3,True,C[C@@H](O)C(O)=O,0,OC(=O)[C@H](O)C,0.0,-339.482910768467,-339.36157586,58.324
C00552,O=C(O)[C@@H](O)[C@@H](O)C(=O)O,58,4,True,O[C@@H]([C@@H](O)C(O)=O)C(O)=O,0,O[C@H]([C@@H](C(=O)O)O)C(=O)O,0.0,-600.23507270831,-600.00660345,62.856
C19838,N[C@@H](C(=O)O)[C@H](O)C(=O)O,58,4,True,[NH3+][C@H]([C@H](O)C(O)=O)C(O)=O,1,OC(=O)[C@@H]([C@@H](C(=O)O)O)[NH3+],1.0,-580.999730677166,-580.77148683,68.016
C00049,N[C@@H](CC(=O)O)C(=O)O,52,4,True,[NH3+][C@@H](CC(O)=O)C(O)=O,1,OC(=O)C[C@@H](C(=O)O)[NH3+],1.0,-506.635018011064,-506.42928809,64.86
C02953,C[C@H](O)[C@H](O)C1=Nc2c(nc(N)[nH]c2=O)NC1,92,9,True,C[C@H](O)[C@H](O)C1=[NH+]C2=C(NC1)N=C(N)NC2=O,1,C[C@@H]([C@@H](C1=Nc2c(NC1)nc([nH]c2=O)N)O)O,0.0,-840.201073568745,-839.86320001,88.296
