KEGG,energy_min,energy_Ha,conf_num,compute_time,energy_solv_Ha
C00233,-454.680136272489,-454.67985530471606,5,4755.528,-454.4965142258558
C00246,-303.906830426762,-303.9067341504259,3,1880.676,-303.79725499251765
C00247,-678.955439171288,-678.9553632482117,2,1325.716,-678.7515072538355
C00250,-583.367243074899,-583.367243074899,1,900.372,-583.12322503
C00256,-339.485273343594,-339.485273343594,1,787.632,-339.36292612
C00257,-753.332879953138,-753.3328579724231,14,41135.948000000004,-753.0913714140884
C00258,-413.851275073733,-413.851275073733,1,2170.184,-413.70727267
C00261,-341.19869009727,-341.19869009727,1,379.664,-341.05735506
C00263,-433.406175027478,-433.4061750208398,2,2033.0720000000001,-433.2561272474795
C00273,-677.759941395953,-677.7594384945348,9,37546.196,-677.517021800794
C00280,-878.76957037507,-878.76957037507,1,1664.696,-878.42803018
C00282,-1.1183520322,-1.1183520322,1,93.9,-1.11707482
C00296,-716.601834398941,-716.601834398941,1,1843.596,-716.36100626
C00309,-565.789833773477,-565.7897389381593,2,1549.268,-565.6209586371757
C00312,-565.787888190116,-565.787739392901,2,3063.1800000000003,-565.6189095257386
C00314,-584.52925560156,-584.52925560156,1,839.364,-584.31250477
C00318,-549.769363423913,-549.7687544649928,20,30175.843999999997,-549.5736829058073
C00322,-602.28158525392,-602.2813267277777,6,16752.932,-602.0229771421183
C00331,-696.31112952849,-696.3111239638383,2,3475.968,-696.0069542323337
C00334,-359.050715267411,-359.05056195744197,2,1770.3519999999999,-358.92519949343557
C00345,-1316.263738721354,-1316.2633521232906,20,87670.95999999999,-1315.9065543033369
C00349,-377.099739628686,-377.0995956485586,2,2940.176,-376.9408406071838
C00379,-566.937445977831,-566.9369789970342,7,9776.988,-566.7854493949134
C00392,-680.094172527071,-680.0934256021981,15,32606.703999999998,-679.9077577500694
C00414,-305.936969847087,-305.936969847087,1,512.652,-305.8285813
C00424,-265.076600433249,-265.076600433249,1,995.356,-264.98346672
C00441,-432.236763089139,-432.23663868979116,3,4549.42,-432.0609881241757
C00468,-838.825651937848,-838.825651937848,1,2181.916,-838.50669302
C00469,-153.09256885827,-153.09256885827,1,222.264,-153.05835445
C00474,-566.93423093686,-566.9337158568952,8,10756.252,-566.7808137649782
C00493,-641.038864545176,-641.038864545176,1,737.72,-640.81548441
C00497,-525.87835126734,-525.8781687094557,5,8812.036,-525.6665872234864
C00522,-530.22824787468,-530.2279540087459,10,15115.892,-530.0477880225639
C00535,-879.930270873659,-879.930270873659,1,2583.96,-879.61470668
C00552,-600.240758097093,-600.2406513177317,2,3449.432,-600.0065242570209
C00556,-342.365004077212,-342.365004077212,1,1097.624,-342.2494024
C00577,-339.440526376917,-339.440526376917,1,1335.388,-339.32594958
C00583,-266.251941559192,-266.2517464484671,2,851.856,-266.1848850029373
C00590,-606.295890256726,-606.295890256726,1,3721.904,-606.07612796
C00644,-1243.034800861145,-1243.0346751203176,19,99737.87599999999,-1242.7360187700542
C00673,-1054.365666004745,-1054.3656658847344,3,17008.688000000002,-1054.1053203594713
C00756,-385.822274441443,-385.82175088306354,19,10367.116,-385.7262909122346
C00794,-680.097001054824,-680.0964907867101,14,39611.588,-679.9118195124652
C00795,-678.953589991775,-678.9535750751437,2,1526.432,-678.7500950792187
C00810,-303.877015126112,-303.877015126112,1,1189.864,-303.77232399
C00835,-838.570144594419,-838.5700360430725,2,4141.008,-838.1978814672251
C00854,-307.100820745327,-307.100820745327,1,429.192,-307.01827888
C00940,-543.778603677479,-543.7782690730191,3,2567.628,-543.5390795025952
C00944,-715.438124201572,-715.438124201572,1,813.6,-715.16961229
C00951,-839.986351071744,-839.986351071744,1,2803.672,-839.69332059
C00956,-584.222507654315,-584.2221883603787,9,21242.468,-583.9949584545333
C00966,-529.049881515668,-529.049779086983,4,4042.8199999999997,-528.8416650630514
C00986,-227.799036783019,-227.79869228481152,7,4660.312,-227.74494436177858
C00989,-378.275277359341,-378.274876954658,5,2762.344,-378.1434700839915
C01005,-957.531729073653,-957.5314729972596,3,5245.524,-957.2767032365136
C01013,-339.482933026275,-339.482933026275,1,1975.936,-339.36256958
C01087,-564.665995666208,-564.6657035206607,6,9124.576000000001,-564.4455533994789
C01089,-378.27689773242,-378.27685868023957,2,3262.248,-378.1453415588199
C01096,-1243.03085202446,-1243.0304394255832,19,140624.66,-1242.730607980885
C01100,-1032.65444288223,-1032.6544364485983,11,55996.36,-1032.3689767393237
C01127,-637.85891408833,-637.8584665330856,4,8392.232,-637.5863535060691
C01146,-412.673188981147,-412.673188981147,1,910.0,-412.50112913
C01179,-640.758563061623,-640.7585567543654,3,3692.256,-640.4863293189695
C01186,-491.772145024388,-491.7717602997308,11,41908.216,-491.60551551144516
C01188,-378.27493311829,-378.2748918862339,2,1150.98,-378.14273510114936
C01267,-1050.70741305953,-1050.7065560931096,10,65870.176,-1050.391426883158
C01412,-229.497727615266,-229.497727615266,1,627.3,-229.41730861
C01438,-39.940304032156,-39.940304032156,1,187.44,-39.9352346
C01507,-680.101050375194,-680.1010151382269,12,45555.75199999999,-679.9170805563532
C01545,-384.651237603806,-384.6507998739339,13,31979.928,-384.5295717285409
C01570,-436.621306067833,-436.6208855091048,10,24740.952,-436.46831127748493
C01620,-527.00621714643,-527.0059822753291,4,4543.456,-526.8290465540878
C01697,-680.094712853391,-680.0940856397639,16,40876.036,-679.9086529024113
C01845,-191.884402166925,-191.884402166925,1,360.88,-191.83943546
C01904,-566.936747608309,-566.9364793354322,9,10866.672,-566.783215781501
C02043,-697.483082482529,-697.4830757278356,2,3211.0519999999997,-697.2057460900078
C02636,-548.597053688183,-548.5968594132747,13,50475.719999999994,-548.3743872602828
C02652,-639.851234868501,-639.851234868501,1,3052.828,-639.59969829
C02666,-605.129538206067,-605.129538206067,1,1869.16,-604.88413755
C02780,-750.979818560456,-750.9792097130689,6,28651.556000000004,-750.6790553716312
C02782,-678.960656403973,-678.9599679718104,14,26051.468,-678.7411956897289
C02953,-840.213150456776,-840.2130405033455,2,3626.292,-839.8668943953542
C03044,-305.044451944426,-305.0442879093896,3,1606.824,-304.9667392285696
C03064,-525.836162532378,-525.836162532378,1,1811.632,-525.63123885
C03067,-415.581355280077,-415.581355280077,1,492.98,-415.41154025
C03167,-714.794669298203,-714.7944289000159,4,5139.42,-714.6347655684175
C03196,-564.666168904251,-564.6658568711415,6,10117.728,-564.4453629522943
C03232,-975.60714459639,-975.6068324200157,4,8641.584,-975.3209981153038
C03341,-471.040147803474,-471.04006268923087,4,10628.332,-470.8519424245874
C03351,-416.748875073985,-416.748875073985,1,1563.136,-416.60501862
C03459,-599.061622845441,-599.0615729180116,2,2339.58,-598.7980515796356
C03557,-696.749486347136,-696.7490733262199,7,5530.244000000001,-696.6214283283741
C03656,-509.836049627014,-509.83592953722894,5,9432.376,-509.63832010767027
C03926,-677.789954343763,-677.7895032712873,6,14740.779999999999,-677.543785074842
C03943,-452.970709310451,-452.97050987709326,8,8160.655999999999,-452.8126680572798
C04421,-1053.662913733558,-1053.6627344101444,16,186360.656,-1053.2283047976855
C04462,-1071.725638527033,-1071.7250220221547,19,221641.82,-1071.2615636305807
C05665,-245.850427068858,-245.850427068858,1,303.252,-245.76415146
C05984,-378.274170664352,-378.27385852754526,3,3039.3999999999996,-378.1407545986251
C06019,-1241.861576483182,-1241.8609099562584,20,100997.70400000001,-1241.5324994632265
C06142,-230.668844392942,-230.66871346953286,2,634.232,-230.61441244156094
C06473,-752.154468527393,-752.1539786946805,12,36488.048,-751.8838114333577
C08492,-307.047195807515,-307.04664365618953,4,2264.0600000000004,-306.9634416610458
C15025,-549.771500447317,-549.7709493240095,20,48177.348,-549.5757773063968
C15673,-752.153404194279,-752.1530820271211,11,27042.768000000004,-751.8801411367185
C16310,-305.875501418254,-305.875501418254,1,2242.98,-305.76642187
C19838,-581.007118621757,-581.0067148371926,3,6131.276,-580.7762983197733
