KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C03433,N[C@H]1[C@H](O)[C@@H](N)[C@H](O)[C@@H](O)[C@@H]1OP(=O)(O)O,96,6,False,[NH3+][C@@H]1[C@@H](O)[C@H]([NH3+])[C@@H](OP(O)(O)=O)[C@H](O)[C@H]1O,2,O[C@@H]1[C@@H](O)[C@H](OP(=O)(O)O)[C@H]([C@@H]([C@H]1[NH3+])O)[NH3+],2.0,-1203.31976019416,-1203.06501392,54.201
C00097,N[C@@H](CS)C(=O)O,42,3,False,[NH3+][C@@H](CS)C(O)=O,1,OC(=O)[C@@H]([NH3+])CS,1.0,-715.7951493680431,-715.69222588,18.422
C00966,CC(C)(CO)C(=O)C(=O)O,58,6,True,CC(C)(CO)C(=O)C(O)=O,0,OCC(C(=O)C(=O)O)(C)C,0.0,-529.017403784782,-528.83369823,22.04
C00207,CC(C)=O,24,3,True,CC(C)=O,0,CC(=O)C,0.0,-190.714651621824,-190.64491097,9.466
C00259,OC1OC[C@H](O)[C@H](O)[C@H]1O,60,5,False,O[C@H]1COC(O)[C@H](O)[C@H]1O,0,O[C@H]1COC([C@@H]([C@H]1O)O)O,0.0,-565.780340527612,-565.60535339,20.658
C00794,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,74,6,True,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0,OC[C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O,0.0,-680.065121291329,-679.87161608,29.261
C03066,N[C@H](C(=O)O)C(O)CC(=O)O,64,5,False,[NH3+][C@@H](C(O)CC(O)=O)C(O)=O,1,OC(=O)CC([C@@H](C(=O)O)[NH3+])O,1.0,-619.755848355098,-619.54227636,23.236
C16590,O=CCCCCCC(=O)O,58,7,False,OC(=O)CCCCCC=O,0,O=CCCCCCC(=O)O,0.0,-493.44048904595985,-493.26668908,21.747
C03589,CC(O)CC(=O)C(=O)O,52,5,False,CC(O)CC(=O)C(O)=O,0,CC(CC(=O)C(=O)O)O,0.0,-490.227589604627,-490.05631634,19.243
C00835,C[C@H](O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,90,9,True,C[C@H](O)C(=O)C1=NC2=C(NC1)N=C(N)NC2=O,0,C[C@@H](C(=O)C1=Nc2c(NC1)nc([nH]c2=O)N)O,0.0,-838.515279724041,-838.17347916,40.191
C06144,C#CCC(=O)O,32,4,False,OC(=O)CC#C,0,OC(=O)CC#C,0.0,-301.488726732129,-301.37900193,13.999
C05585,O=Cc1cc(O)ccc1O,52,7,False,Oc1ccc(O)c(C=O)c1,0,O=Cc1cc(O)ccc1O,0.0,-489.936891655986,-489.75660625,18.047
C00576,C[N+](C)(C)CC=O,42,5,False,C[N+](C)(C)CC=O,1,O=CC[N+](C)(C)C,1.0,-323.392637981789,-323.26875314,16.282
C00557,O=C1CCCC1,34,5,False,O=C1CCCC1,0,O=C1CCCC1,0.0,-267.127463684336,-267.03131322,12.583
C00253,O=C(O)c1cccnc1,46,6,False,OC(=O)c1ccc[nH+]c1,1,OC(=O)c1cccnc1,0.0,-431.92120943168493,-431.75039542,15.561
C06418,CC[C@@H](C)[C@@H](N)C(=O)O,54,6,False,CC[C@@H](C)[C@@H]([NH3+])C(O)=O,1,CC[C@H]([C@H](C(=O)O)[NH3+])C,1.0,-436.590924368991,-436.45158002,22.022
C02632,CC(C)C(=O)O,36,4,False,CC(C)C(O)=O,0,CC(C(=O)O)C,0.0,-303.888106788745,-303.79036455,13.708
C17580,N[C@H]1C[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,66,6,False,[NH3+][C@H]1C[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,1,O[C@H]1[C@H](O)C[C@@H]([C@H]([C@@H]1O)O)[NH3+],1.0,-585.341298236063,-585.16833944,25.142
C00109,CCC(=O)C(=O)O,40,4,True,CCC(=O)C(O)=O,0,CCC(=O)C(=O)O,0.0,-377.066225209479,-376.92920623,13.522
C06990,Clc1ccccc1,36,6,False,Clc1ccccc1,0,Clc1ccccc1,0.0,-685.938345162216,-685.84959963,13.475
C00472,O=C1C=CC(=O)C=C1,40,6,False,O=C1C=CC(=O)C=C1,0,O=C1C=CC(=O)C=C1,0.0,-376.738431313037,-376.58389798,13.56
C06735,NCC=O,24,2,False,[NH3+]CC=O,1,C([NH3+])C=O,1.0,-207.046901069551,-206.97027151,10.732
C02457,OCCCO,32,3,False,OCCCO,0,OCCCO,0.0,-266.240737361505,-266.1717585,12.655
C14418,O=[N+]([O-])c1cccc(O)c1,52,6,False,Oc1cccc(c1)[N+]([O-])=O,0,Oc1cccc(c1)[N+](=O)[O-],0.0,-505.727149910327,-505.51378088,19.112
C06007,CC[C@@](C)(O)[C@@H](O)C(=O)O,60,6,False,CC[C@@](C)(O)[C@@H](O)C(O)=O,0,CC[C@]([C@H](C(=O)O)O)(O)C,0.0,-530.1976274424379,-530.03115164,24.071
C01403,COc1ccccc1,42,7,False,COc1ccccc1,0,COc1ccccc1,0.0,-342.365619556229,-342.24284426,15.162
C00424,C[C@H](O)C=O,30,3,True,C[C@H](O)C=O,0,C[C@@H](C=O)O,0.0,-265.068535650622,-264.97580028,11.598
C01013,O=C(O)CCO,36,3,True,OCCC(O)=O,0,OCCC(=O)O,0.0,-339.465199418177,-339.35469476,12.122
C02323,OCc1ccccc1O,48,7,False,OCc1ccccc1O,0,OCc1ccccc1O,0.0,-416.73582261243104,-416.59622798,18.384
C00014,N,8,0,True,[NH4+],1,[NH4+],1.0,-56.29778561527,-56.29090853,7.716
C00546,CC(=O)C=O,28,3,False,CC(=O)C=O,0,O=CC(=O)C,0.0,-263.890120944128,-263.78808050000004,11.317
C11260,CC(N)(CO)CO,44,4,False,CC([NH3+])(CO)CO,1,OCC(CO)([NH3+])C,1.0,-360.17763252789706,-360.07798004,18.882
C00159,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,72,6,False,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,0,OC[C@H]1OC(O)[C@H]([C@H]([C@@H]1O)O)O,0.0,-678.931086642747,-678.72198128,29.645
C00618,O=C(O)[C@@H](O)C(=O)[C@H](O)[C@@H](O)CO,76,6,False,OC[C@H](O)[C@@H](O)C(=O)[C@H](O)C(O)=O,0,OC[C@@H]([C@H](C(=O)[C@@H](C(=O)O)O)O)O,0.0,-752.111965031478,-751.85163644,31.517
C06601,Oc1ccc(O)c(Cl)c1,48,6,False,Oc1ccc(O)c(Cl)c1,0,Oc1ccc(c(c1)Cl)O,0.0,-834.687535375817,-834.54838792,19.006
C01488,O=C[C@H](O)C(O)(CO)CO,60,5,False,OCC(O)(CO)[C@@H](O)C=O,0,O=C[C@@H](C(CO)(CO)O)O,0.0,-565.742652159374,-565.55828836,21.163
C05823,O=C(O)[C@@H](O)CS,42,3,False,O[C@@H](CS)C(O)=O,0,O[C@H](C(=O)O)CS,0.0,-735.0157643726201,-734.90800487,16.719
C00022,CC(=O)C(=O)O,34,3,True,CC(=O)C(O)=O,0,OC(=O)C(=O)C,0.0,-338.284254851968,-338.1574027,11.515999999999998
C15673,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@@H](O)CO,76,6,True,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)C(O)=O,0,OC[C@@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O,0.0,-752.1096814267011,-751.85925301,25.835
C06417,CC(C)[C@@H](N)C(=O)O,48,5,False,CC(C)[C@@H]([NH3+])C(O)=O,1,[NH3+][C@@H](C(=O)O)C(C)C,1.0,-397.805511392182,-397.67765925,20.343
