KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C02720,ONc1ccccc1,42,6,False,[OH2+][NH2+]c1ccccc1,2,ONc1ccccc1,0.0,-362.756489705985,-362.77319028,265.088
C02659,CC(C)(O)C#N,34,4,False,CC(C)(O)C#N,0,N#CC(O)(C)C,0.0,-285.97968682990603,-285.98878629,193.552
C01214,N[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,False,[NH3+][C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,1,O[C@@H]1[C@@H](O)[C@H](O)[C@H]([C@@H]([C@H]1O)[NH3+])O,1.0,-666.3768032480519,-666.43385402,509.16
C01059,Oc1ccc(O)nc1,42,5,False,[O-]c1ccc([O-])[nH+]c1,-1,Oc1ccc(cn1)O,0.0,-397.379975192507,-397.39300334,270.6
C02917,C[C@H](O)CO,32,3,False,C[C@H](O)CO,0,OC[C@@H](O)C,0.0,-268.996091662138,-269.01791727,186.476
C00756,CCCCCCCCO,56,8,True,CCCCCCCCO,0,CCCCCCCCO,0.0,-390.067617619663,-390.09749417,159.846
C01697,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,74,6,True,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,0,OC[C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O,0.0,-686.918782930133,-686.98361554,252.538
C00314,Cc1ncc(CO)c(CO)c1O,66,8,True,Cc1[nH+]cc(CO)c(CO)c1[O-],0,OCc1c(CO)cnc(c1O)C,0.0,-590.595083264928,-590.62560176,261.818
C11511,N[C@H](C(=O)O)[C@H](O)C(=O)O,58,4,False,[NH3+][C@@H]([C@H](O)C(O)=O)C(O)=O,1,OC(=O)[C@H]([C@@H](C(=O)O)O)[NH3+],1.0,-586.725271732098,-586.75446921,368.768
C06001,C[C@@H](CO)C(=O)O,42,4,False,C[C@@H](CO)C(O)=O,0,OC[C@@H](C(=O)O)C,0.0,-382.109106725299,-382.13080631,267.372
C00082,N[C@@H](Cc1ccc(O)cc1)C(=O)O,70,9,True,[NH3+][C@@H](Cc1ccc(O)cc1)C(O)=O,1,OC(=O)[C@H](Cc1ccc(cc1)O)[NH3+],1.0,-629.1155932749421,-629.13819056,332.045
C01087,O=C(O)CC[C@@H](O)C(=O)O,58,5,True,O[C@H](CCC(O)=O)C(O)=O,0,OC(=O)CC[C@H](C(=O)O)O,0.0,-570.283057399482,-570.31074498,173.61700000000005
C15562,NCc1ccccc1,42,7,False,[NH3+]Cc1ccccc1,1,[NH3+]Cc1ccccc1,1.0,-326.656671357407,-326.6662538,272.828
C18248,CCCl,20,2,False,CCCl,0,CCCl,0.0,-538.754016481369,-538.75929436,91.292
C00042,O=C(O)CCC(=O)O,46,4,True,OC(=O)CCC(O)=O,0,OC(=O)CCC(=O)O,0.0,-455.993227586221,-456.01224782,91.044
C03059,NC(CO)(CO)C(=O)O,54,4,False,[NH3+]C(CO)(CO)C(O)=O,1,OCC(C(=O)O)(CO)[NH3+],1.0,-512.853141528212,-512.88633286,234.68
C00620,O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O,84,5,False,OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O,0,OC[C@H]1O[C@@H]([C@@H]([C@@H]1O)O)OP(=O)(O)O,0.0,-1138.282135482364,-1138.34279348,464.416
C00310,OCC1(O)OC[C@@H](O)[C@@H]1O,60,5,False,OCC1(O)OC[C@@H](O)[C@@H]1O,0,OCC1(O)OC[C@H]([C@@H]1O)O,0.0,-571.435108513846,-571.48535406,256.408
C00597,O=C(O)C(O)COP(=O)(O)O,66,3,False,OC(COP(O)(O)=O)C(O)=O,0,OC(=O)C(COP(=O)(O)O)O,0.0,-984.784894854841,-984.82148847,248.404
C00855,CSCC[C@@H](N)C(=O)O,54,5,False,CSCC[C@@H]([NH3+])C(O)=O,1,CSCC[C@@H]([NH3+])C(=O)O,1.0,-799.700469763211,-799.72111886,233.028
C03197,C[C@H](O)CC(=O)O,42,4,False,C[C@H](O)CC(O)=O,0,C[C@@H](CC(=O)O)O,0.0,-382.104708285124,-382.12477051,170.99599999999995
C00623,O=P(O)(O)OC[C@@H](O)CO,62,3,False,OC[C@H]([OH2+])COP(O)([O-])=O,0,OC[C@@H](COP(=O)(O)O)O,0.0,-910.842863393186,-910.8841494,246.944
C02223,CCC(C)C=O,36,5,False,CCC(C)C=O,0,CC(C=O)CC,0.0,-271.184173956765,-271.19825168,149.18
C15930,O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,78,6,False,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,0,OC[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O,0.0,-760.803735107709,-760.86096354,412.86800000000005
C02124,Oc1ccc(Cl)cc1,42,6,False,Oc1ccc(Cl)cc1,0,Oc1ccc(cc1)Cl,0.0,-765.9032173449519,-765.91056442,183.212
C06754,O=CCCl,24,2,False,ClCC=O,0,ClCC=O,0.0,-612.596401619796,-612.6048802,108.388
C11249,C1CCCCC1,36,6,False,C1CCCCC1,0,C1CCCCC1,0.0,-235.36204323646095,-235.37798523,190.136
C03079,N[C@@H](CC(O)C(=O)O)C(=O)O,64,5,False,[NH3+][C@@H](CC(O)C(O)=O)C(O)=O,1,OC(=O)C(C[C@@H](C(=O)O)[NH3+])O,1.0,-625.96235559248,-625.99434299,460.872
