KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C00160,O=C(O)CO,30,2,True,OCC(O)=O,0,OCC(=O)O,0.0,-303.947141348497,-303.43281369,232.524
C00256,C[C@@H](O)C(=O)O,36,3,True,C[C@@H](O)C(O)=O,0,OC(=O)[C@H](O)C,0.0,-343.203276884203,-342.60032577,276.628
C00552,O=C(O)[C@@H](O)[C@@H](O)C(=O)O,58,4,True,O[C@@H]([C@@H](O)C(O)=O)C(O)=O,0,O[C@H]([C@@H](C(=O)O)O)C(=O)O,0.0,-606.716490118965,-605.6931354,602.036
C19838,N[C@@H](C(=O)O)[C@H](O)C(=O)O,58,4,True,[NH3+][C@H]([C@H](O)C(O)=O)C(O)=O,1,OC(=O)[C@@H]([C@@H](C(=O)O)O)[NH3+],1.0,-587.306198838506,-586.29413491,686.568
C00049,N[C@@H](CC(=O)O)C(=O)O,52,4,True,[NH3+][C@@H](CC(O)=O)C(O)=O,1,OC(=O)C[C@@H](C(=O)O)[NH3+],1.0,-512.159147223861,-511.26175823,581.484
C02953,C[C@H](O)[C@H](O)C1=Nc2c(nc(N)[nH]c2=O)NC1,92,9,True,C[C@H](O)[C@H](O)C1=[NH+]C2=C(NC1)N=C(N)NC2=O,1,C[C@@H]([C@@H](C1=Nc2c(NC1)nc([nH]c2=O)N)O)O,0.0,-849.583298289143,-848.00275066,3009.616
C00217,N[C@H](CCC(=O)O)C(=O)O,58,5,True,[NH3+][C@H](CCC(O)=O)C(O)=O,1,OC(=O)CC[C@H](C(=O)O)[NH3+],1.0,-551.417876839634,-550.43372566,797.8
C00250,Cc1ncc(CO)c(C=O)c1O,64,8,True,Cc1[nH+]cc(CO)c(C=O)c1[O-],0,O=Cc1c(CO)cnc(c1O)C,0.0,-589.8950772279239,-588.79527807,1135.868
C00556,OCc1ccccc1,42,7,True,OCc1ccccc1,0,OCc1ccccc1,0.0,-346.26590520012,-345.58338498,483.116
C02043,O=C(O)C(O)Cc1c[nH]c2ccccc12,78,11,True,OC(Cc1c[nH]c2ccccc12)C(O)=O,0,OC(=O)C(Cc1c[nH]c2c1cccc2)O,0.0,-705.287417061878,-703.95421732,1899.58
C00318,C[N+](C)(C)C[C@H](O)CC(=O)[O-],66,7,True,C[N+](C)(C)C[C@H](O)CC(O)=O,1,O[C@@H](C[N+](C)(C)C)CC(=O)[O-],0.0,-555.9096687417031,-554.84544257,1353.4720000000002
C00810,CC(=O)[C@@H](C)O,36,4,True,C[C@@H](O)C(C)=O,0,CC(=O)[C@H](O)C,0.0,-307.278876617122,-306.70391349,418.84
C00644,O=P(O)(O)OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,98,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,0,OC[C@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O,0.0,-1254.8109371604598,-1253.14625578,2492.92
C00186,C[C@H](O)C(=O)O,36,3,True,C[C@H](O)C(O)=O,0,OC(=O)[C@@H](O)C,0.0,-343.199867767311,-342.59711363,281.196
C00469,CCO,20,2,True,CCO,0,CCO,0.0,-154.827224798795,-154.52747889,142.344
C02636,C[N+](C)(C)CC(=O)CC(=O)O,64,7,True,C[N+](C)(C)CC(=O)CC(O)=O,1,O=C(C[N+](C)(C)C)CC(=O)O,1.0,-554.701440875843,-553.6524448,1149.344
C00956,N[C@@H](CCCC(=O)O)C(=O)O,64,6,True,[NH3+][C@@H](CCCC(O)=O)C(O)=O,1,OC(=O)CCC[C@@H](C(=O)O)[NH3+],1.0,-590.6556901068329,-589.5869058999998,920.056
C01507,OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,74,6,True,OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0,OC[C@@H]([C@H]([C@@H]([C@H](CO)O)O)O)O,0.0,-687.55217352768,-686.3222029,1252.856
C00577,O=C[C@H](O)CO,36,3,True,OC[C@@H](O)C=O,0,O[C@@H](C=O)CO,0.0,-343.158146994095,-342.55745661,282.48
C03351,OCc1cccc(O)c1,48,7,True,OCc1cccc(O)c1,0,OCc1cccc(c1)O,0.0,-421.42144584742994,-420.62386034,568.284
C04462,O=C(O)CCC(=O)N[C@@H](CCCC(=O)C(=O)O)C(=O)O,112,11,True,OC(=O)CCC(=O)N[C@@H](CCCC(=O)C(O)=O)C(O)=O,0,O=C(N[C@H](C(=O)O)CCCC(=O)C(=O)O)CCC(=O)O,0.0,-1083.48267918521,-1081.55360393,3957.832
C00058,O=CO,18,1,True,OC=O,0,OC=O,0.0,-189.551911495891,-189.23807504,115.796
C01146,O=CC(O)C(=O)O,40,3,True,OC(C=O)C(O)=O,0,O=CC(C(=O)O)O,0.0,-417.135138552993,-416.43131868,296.196
C00116,OCC(O)CO,38,3,True,OCC(O)CO,0,OCC(CO)O,0.0,-344.3674648188629,-343.74965709,311.448
C00092,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,96,6,True,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,0,OC1O[C@H](COP(=O)(O)O)[C@H]([C@@H]([C@H]1O)O)O,0.0,-1253.6104823938251,-1251.96161972,2265.944
C05665,NCCC=O,30,3,True,[NH3+]CCC=O,1,C(C=O)C[NH3+],1.0,-248.615646971707,-248.1393952,262.82
C00247,OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O,72,6,True,OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O,0,OCC1(O)OC[C@@H]([C@H]([C@@H]1O)O)O,0.0,-686.354255166825,-685.13663852,1117.988
C00280,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,114,19,True,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O,0,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C)C,0.0,-888.8215650661881,-886.98679477,6772.252
C00334,NCCCC(=O)O,42,4,True,[NH3+]CCCC(O)=O,1,[NH3+]CCCC(=O)O,1.0,-363.043387154827,-362.36193201,411.916
C00309,OCC1(O)OC[C@@H](O)[C@H]1O,60,5,True,OCC1(O)OC[C@@H](O)[C@H]1O,0,OCC1(O)OC[C@H]([C@H]1O)O,0.0,-571.956728944107,-570.94421089,737.4680000000002
C00795,OCC1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,72,6,True,OCC1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,0,OCC1(O)OC[C@H]([C@@H]([C@@H]1O)O)O,0.0,-686.353551185369,-685.13747114,1111.108
C00001,O,8,0,True,O,0,O,0.0,-76.351812462387,-76.22359297,88.204
C03943,C[C@H](N)C[C@@H](N)C(=O)O,54,5,True,C[C@H]([NH3+])C[C@@H]([NH3+])C(O)=O,2,C[C@H]([NH3+])C[C@@H]([NH3+])C(=O)O,2.0,-457.974197157238,-457.17902456,719.592
C00168,O=C(O)C(=O)CO,40,3,True,OCC(=O)C(O)=O,0,OCC(=O)C(=O)O,0.0,-417.12963648704397,-416.42486251,387.376
C00379,OC[C@H](O)[C@@H](O)[C@H](O)CO,62,5,True,OC[C@H](O)[C@@H](O)[C@H](O)CO,0,OC[C@H]([C@@H]([C@H](CO)O)O)O,0.0,-573.157540596622,-572.13220653,793.36
C00345,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,102,6,True,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,0,O[C@@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)COP(=O)(O)O,0.0,-1328.780661988933,-1327.02322185,2692.94
C00522,CC(C)(CO)[C@@H](O)C(=O)O,60,6,True,CC(C)(CO)[C@@H](O)C(O)=O,0,OCC([C@H](C(=O)O)O)(C)C,0.0,-536.086480745587,-535.09859092,829.32
C01545,CCCCCCCC=O,54,8,True,CCCCCCCC=O,0,CCCCCCCC=O,0.0,-389.10411420568,-388.29394956,750.204
C00065,N[C@@H](CO)C(=O)O,42,3,True,[NH3+][C@@H](CO)C(O)=O,1,OC[C@@H](C(=O)O)[NH3+],1.0,-398.934031322807,-398.2275341,399.14
C00497,O=C(O)C[C@@H](O)C(=O)O,52,4,True,O[C@H](CC(O)=O)C(O)=O,0,OC(=O)C[C@H](C(=O)O)O,0.0,-531.577470573246,-530.67053858,477.2480000000001
C00095,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,72,6,True,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,0,OC[C@H]1OC([C@H]([C@@H]1O)O)(O)CO,0.0,-686.3543258584031,-685.13893092,1051.444
C00986,NCCCN,32,3,True,[NH3+]CCC[NH3+],2,[NH3+]CCC[NH3+],2.0,-230.41736943787004,-229.94139706,255.0
C03341,CC(=O)C[C@@H](N)C(=O)O,52,5,True,CC(=O)C[C@@H]([NH3+])C(O)=O,1,CC(=O)C[C@H](C(=O)O)[NH3+],1.0,-476.235920782557,-475.36868736,763.888
C00331,O=C(O)C(=O)Cc1c[nH]c2ccccc12,76,11,True,OC(=O)C(=O)Cc1c[nH]c2ccccc12,0,OC(=O)C(=O)Cc1c[nH]c2c1cccc2,0.0,-704.0802632678432,-702.76183456,2279.3160000000007
C00296,O=C(O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1,76,7,True,O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O,0,O[C@@H]1[C@H](O)C[C@@](C[C@H]1O)(O)C(=O)O,0.0,-724.457271754504,-723.16358336,1382.432
C01186,C[C@H](N)C[C@H](N)CC(=O)O,60,6,True,C[C@H]([NH3+])C[C@H]([NH3+])CC(O)=O,2,OC(=O)C[C@H](C[C@@H]([NH3+])C)[NH3+],2.0,-497.25155954880205,-496.29390453,874.328
C00166,O=C(O)C(=O)Cc1ccccc1,62,9,True,OC(=O)C(=O)Cc1ccccc1,0,O=C(C(=O)O)Cc1ccccc1,0.0,-572.686109068815,-571.62492244,859.628
C00184,O=C(CO)CO,36,3,True,OCC(=O)CO,0,OCC(=O)CO,0.0,-343.162366552018,-342.56137398,259.156
C00025,N[C@@H](CCC(=O)O)C(=O)O,58,5,True,[NH3+][C@@H](CCC(O)=O)C(O)=O,1,OC(=O)CC[C@@H](C(=O)O)[NH3+],1.0,-551.41191222565,-550.42754835,754.716
C01267,O=C(COP(=O)(O)O)Cc1c[nH]cn1,78,6,True,OP(O)(=O)OCC(=O)Cc1c[nH]c[nH+]1,1,O=C(Cc1c[nH]c[nH+]1)COP(=O)(O)O,1.0,-1060.454126848741,-1059.10507993,1588.064
C00273,O=C(CO)[C@@H](O)[C@H](O)C(=O)CO,70,6,True,OCC(=O)[C@@H](O)[C@H](O)C(=O)CO,0,OCC(=O)[C@H]([C@@H](C(=O)CO)O)O,0.0,-685.139104075671,-683.94162974,1104.612
C03167,O=CCP(=O)(O)O,42,2,True,OP(O)(=O)CC=O,0,O=CCP(=O)(O)O,0.0,-720.863138540331,-720.14762022,337.336
C00111,O=C(CO)COP(=O)(O)O,60,3,True,OCC(=O)COP(O)(O)=O,0,OCC(=O)COP(=O)(O)O,0.0,-910.4238858570627,-909.39226052,792.7439999999998
C00117,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O,84,5,True,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,0,O[C@H]1C(O)O[C@@H]([C@H]1O)COP(=O)(O)O,0.0,-1139.221669806579,-1137.77891651,2162.068
