KEGG,canon_smiles,smiles,n_electrons,n_carbons,organic,easy,exp_rxn_data,dlpno_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,josh
C19429,O=[N+]([O-])c1cc(N(CCO)CCO)ccc1NCCO,O=[N+]([O-])c1cc(N(CCO)CCO)ccc1NCCO,112,12,True,False,False,False,OCC[NH2+]c1ccc(cc1[N+]([O-])=O)N(CCO)CCO,1,OCCNc1ccc(cc1[N+](=O)[O-])N(CCO)CCO,0,False
C09451,CC(C)=CC(=O)O[C@H]1[C@@H]2[C@H](C)C(=O)O[C@@H]2[C@H](O)[C@@H](C)[C@@H]2C=CC(=O)[C@]21C,CC(C)=CC(=O)O[C@H]1[C@@H]2[C@H](C)C(=O)O[C@@H]2[C@H](O)[C@@H](C)[C@@H]2C=CC(=O)[C@]21C,142,20,True,False,False,False,C[C@H]1[C@@H]2[C@H](OC1=O)[C@H](O)[C@@H](C)[C@@H]1C=CC(=O)[C@@]1(C)[C@H]2OC(=O)C=C(C)C,0,CC(=CC(=O)O[C@H]1[C@@H]2[C@H](C)C(=O)O[C@@H]2[C@@H]([C@H]([C@H]2[C@@]1(C)C(=O)C=C2)C)O)C,0,False
C19156,C[C@H](OP(=O)(O)O)C(=O)O,C[C@H](OP(=O)(O)O)C(=O)O,60,3,True,True,False,False,C[C@H](OP(O)(O)=O)C(O)=O,0,OC(=O)[C@@H](OP(=O)(O)O)C,0,False
C10154,C[C@@H]1N[C@H](CCCCCCCCCCC2=CC(CCCCCCCCCC[C@@H]3CC[C@H](O)[C@H](C)N3)C3CCCN3C2)CC[C@@H]1O,C[C@@H]1N[C@H](CCCCCCCCCCC2=CC(CCCCCCCCCC[C@@H]3CC[C@H](O)[C@H](C)N3)C3CCCN3C2)CC[C@@H]1O,262,40,True,False,False,False,C[C@@H]1[NH2+][C@H](CCCCCCCCCCC2C=C(CCCCCCCCCC[C@@H]3CC[C@H](O)[C@H](C)[NH2+]3)C[NH+]3CCCC23)CC[C@@H]1O,3,O[C@H]1CC[C@H]([NH2+][C@H]1C)CCCCCCCCCCC1=CC(C2[NH+](C1)CCC2)CCCCCCCCCC[C@@H]1CC[C@@H]([C@@H]([NH2+]1)C)O,3,False
C05279,CCCCC/C=C\CC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,CCCCC/C=C\CC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,344,33,True,False,False,False,CCCCC\\C=C/CC\\C=C\\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)[nH+]cnc12,1,CCCCC/C=C\CC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O,0,False
C06823,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,166,25,False,False,False,False,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC[NH+](CC)CC)c(I)c1,1,CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCC[NH+](CC)CC)cccc2,1,False
C08618,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,182,30,True,False,False,False,CC(=C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12,0,OC[C@@]12CC[C@H]([C@@H]2[C@@H]2[C@](CC1)(C)[C@]1(C)CC[C@@H]3[C@]([C@H]1CC2)(C)CC[C@@H](C3(C)C)O)C(=C)C,0,False
C04835,CCCCCC(=O)/C=C/[C@H]1[C@H](O)C[C@@H]2O/C(=C/CCCC(=O)O)C[C@@H]21,CCCCCC(=O)/C=C/[C@H]1[C@H](O)C[C@@H]2O/C(=C/CCCC(=O)O)C[C@@H]21,140,20,True,False,False,False,CCCCCC(=O)\\C=C\\[C@H]1[C@H](O)C[C@@H]2O\\C(C[C@H]12)=C\\CCCC(O)=O,0,CCCCCC(=O)/C=C/[C@H]1[C@H](O)C[C@H]2[C@@H]1C/C(=C\CCCC(=O)O)/O2,0,False
C00692,CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)O,CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)O,328,28,True,False,False,False,C[C@H](NC(=O)[C@@H](C)O[C@H]1[C@H](O)[C@@H](CO)O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@@H]1NC(C)=O)C(=O)N[C@H](CCC(O)=O)C(O)=O,0,OC[C@H]1O[C@H](OP(=O)(OP(=O)(OC[C@H]2O[C@H]([C@@H]([C@@H]2O)O)n2ccc(=O)[nH]c2=O)O)O)[C@@H]([C@H]([C@@H]1O)O[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)CCC(=O)O)C)C)NC(=O)C,0,False
C00079,N[C@@H](Cc1ccccc1)C(=O)O,N[C@@H](Cc1ccccc1)C(=O)O,64,9,True,True,True,False,[NH3+][C@@H](Cc1ccccc1)C(O)=O,1,[NH3+][C@H](C(=O)O)Cc1ccccc1,1,False
C16216,CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,388,39,True,False,False,False,CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)[nH+]cnc12,1,CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O,0,False
C16687,O=P(O)(OC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@@H](O[C@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]3O[C@@H]3[C@@H](OC[C@H]4O[C@H](OP(=O)(O)OC[C@H]5O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]5O)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](O)[C@@H]4O)O[C@H](CO)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,O=P(O)(OC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@@H](O[C@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]3O[C@@H]3[C@@H](OC[C@H]4O[C@H](OP(=O)(O)OC[C@H]5O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]5O)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](O)[C@@H]4O)O[C@H](CO)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,568,48,True,False,False,False,OC[C@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O)[C@@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](COP(O)(=O)O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)O[C@@H]2OP(O)(=O)OC[C@H]2O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,0,OC[C@H]1O[C@H](O[C@@H]2[C@@H](OC[C@H]3O[C@H](OP(=O)(OC[C@H]4O[C@H](O)[C@H]([C@H]([C@@H]4O)O)O)O)[C@H]([C@H]([C@@H]3O)O)O[C@H]3O[C@H](CO)[C@H]([C@@H]([C@@H]3O)O)O)O[C@@H]([C@H]([C@@H]2O)O)CO)[C@H]([C@H]([C@@H]1O)O)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O[C@H]1O[C@H](COP(=O)(O[C@H]2O[C@H](CO)[C@H]([C@@H]([C@@H]2O)O)O)O)[C@H]([C@@H]([C@@H]1O)O)O)O,0,False
C06517,COc1cc2c(cc1O)[C@H](Cc1ccc(O)c(O)c1)NCC2,COc1cc2c(cc1O)[C@H](Cc1ccc(O)c(O)c1)NCC2,116,17,True,False,False,False,COc1cc2CC[NH2+][C@@H](Cc3ccc(O)c(O)c3)c2cc1O,1,COc1cc2CC[NH2+][C@H](c2cc1O)Cc1ccc(c(c1)O)O,1,False
C02812,O=C1O[C@H](C(O)CO)C(O)=C1OS(=O)(=O)O,O=C1O[C@H](C(O)CO)C(O)=C1OS(=O)(=O)O,92,6,True,True,False,False,OCC(O)[C@H]1OC(=O)C(OS([O-])(=O)=O)=C1O,-1,OCC([C@H]1OC(=O)C(=C1O)OS(=O)(=O)[O-])O,-1,False
C00490,C=C(CC(=O)O)C(=O)O,C=C(CC(=O)O)C(=O)O,50,5,True,True,False,False,OC(=O)CC(=C)C(O)=O,0,OC(=O)CC(=C)C(=O)O,0,False
C15446,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3C[C@@H](F)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3C[C@@H](F)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,144,22,True,False,False,False,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3C[C@@H](F)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0,CCC(=O)O[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2C[C@H](C2=CC(=O)CC[C@]12C)F,0,False
