rxn,category
CCCC(=O)C(=O)O>>CCCC(O)C(=O)O,2
O=Cc1ccc(O)cc1>>OCc1ccc(O)cc1,2
O=Cc1ccc(CO)o1>>NCc1ccc(CO)o1,3
O=C1C=CC=CC1=O>>O=C1C=CC=CC1O,2
O=Cc1cccc(O)c1>>NCc1cccc(O)c1,3
Cc1ccc(C=O)cc1>>Cc1ccc(CO)cc1,2
CC(=O)c1ccccc1>>CC(O)c1ccccc1,2
O=C1CCC(=O)CC1>>NC1CCC(=O)CC1,3
Cn1cnc(CC=O)c1>>Cn1cnc(CCO)c1,2
NCCC(=O)C(=O)O>>NCCC(O)C(=O)O,2
Cc1cccc(C=O)c1>>Cc1cccc(CO)c1,2
O=C1CCCC(=O)C1>>NC1CCCC(=O)C1,3
NC(CC=O)C(=O)O>>NC(CCO)C(=O)O,2
O=C(O)C(=O)CCO>>O=C(O)C(O)CCO,2
O=CCc1c[nH]cn1>>NCCc1c[nH]cn1,3
O=CNc1ccccc1C=O>>NCc1ccccc1NC=O,3
CC(=O)CC1CCCCN1>>CC(O)CC1CCCCN1,2
NC1C=CC(=O)C=C1>>NC1C=CC(O)C=C1,2
CC(=O)CCC=C(C)C>>CC(C)=CCCC(C)N,3
CCCC(=O)CC(=O)O>>CCCC(N)CC(=O)O,3
NC(C=O)CCC(=O)O>>NCC(N)CCC(=O)O,3
NC(C=O)CCC(=O)O>>NC(CO)CCC(=O)O,2
CC(=O)[C@H](C)O>>CC(O)[C@H](C)O,2
Cc1cccc(C=O)c1O>>Cc1cccc(CO)c1O,2
NC(CCC=O)C(=O)O>>NC(CCCO)C(=O)O,2
O=CCCC(O)C(=O)O>>NCCCC(O)C(=O)O,3
CC(=O)CCCC(=O)O>>CC(N)CCCC(=O)O,3
O=CCc1ccc(O)cc1>>OCCc1ccc(O)cc1,2
CCCCCCCCCC(C)=O>>CCCCCCCCCC(C)N,3
NCCCC(=O)C(=O)O>>NCCCC(O)C(=O)O,2
O=C(O)C(=O)CCCO>>O=C(O)C(O)CCCO,2
O=C1CCc2ccccc21>>NC1CCc2ccccc21,3
O=C1Cc2ccccc2C1>>NC1Cc2ccccc2C1,3
NCCCC(=O)C(=O)O>>NCCCC(N)C(=O)O,3
COc1ccc(C=O)cc1>>COc1ccc(CN)cc1,3
O=C(O)CCC(=O)CO>>NC(CO)CCC(=O)O,3
NCC(=O)CCC(=O)O>>NCC(O)CCC(=O)O,2
O=CCC(=O)C(=O)O>>NCCC(=O)C(=O)O,3
NC(CCC=O)C(=O)O>>NCCCC(N)C(=O)O,3
O=C1Cc2ccccc2C1>>OC1Cc2ccccc2C1,2
O=C(O)CCC(=O)CO>>O=C(O)CCC(O)CO,2
CC(=O)CCCC(=O)O>>CC(O)CCCC(=O)O,2
O=CCC(CO)C(=O)O>>O=C(O)C(CO)CCO,2
O=C1C=CC(O)C=C1>>NC1C=CC(O)C=C1,3
O=Cc1cc(O)ccc1O>>OCc1cc(O)ccc1O,2
Cc1cccc(C=O)c1O>>Cc1cccc(CN)c1O,3
O=Cc1cc(O)ccc1O>>NCc1cc(O)ccc1O,3
NC1C=CC(=O)C=C1>>NC1C=CC(N)C=C1,3
CCCCCCCCCC(C)=O>>CCCCCCCCCC(C)O,2
C[N+](C)(C)CC=O>>C[N+](C)(C)CCO,2
O=CCc1ccc(O)cc1>>NCCc1ccc(O)cc1,3
O=C/C=C/c1ccccc1>>OCC=Cc1ccccc1,2
O=CCCC(O)C(=O)O>>O=C(O)C(O)CCCO,2
CCOC(=O)CC(C)=O>>CCOC(=O)CC(C)O,2
CC(=O)Cc1ccccc1>>CC(N)Cc1ccccc1,3
C[N+](C)(C)CC=O>>C[N+](C)(C)CCN,3
COc1ccc(C=O)cc1>>COc1ccc(CO)cc1,2
O=C(CO)c1ccccc1>>NC(CO)c1ccccc1,3
O=CCC(CO)C(=O)O>>NCCC(CO)C(=O)O,3
CCOC(=O)CC(C)=O>>CCOC(=O)CC(C)N,3
NCC(=O)CCC(=O)O>>NCC(N)CCC(=O)O,3
O=CC(O)CCC(=O)O>>O=C(O)CCC(O)CO,2
O=C/C=C/c1ccccc1>>NCC=Cc1ccccc1,3
CC(=O)CC1CCCCN1>>CC(N)CC1CCCCN1,3
O=CCC(=O)C(=O)O>>O=CCC(O)C(=O)O,2
O=C1C=CC(O)C=C1>>OC1C=CC(O)C=C1,2
CC(=O)CCC=C(C)C>>CC(C)=CCCC(C)O,2
CCCCC(=O)C(=O)O>>CCCCC(O)C(=O)O,2
O=C(O)C(=O)CCCO>>NC(CCCO)C(=O)O,3
O=CCC(=O)C(=O)O>>O=C(O)C(=O)CCO,2
O=C(CO)c1ccccc1>>OCC(O)c1ccccc1,2
CC(=O)Cc1ccccc1>>CC(O)Cc1ccccc1,2
CCCC(=O)CC(=O)O>>CCCC(O)CC(=O)O,2
O=CNc1ccccc1C=O>>O=CNc1ccccc1CO,2
CCCCC(=O)C(=O)O>>CCCCC(N)C(=O)O,3
O=CCC(=O)C(=O)O>>NC(CC=O)C(=O)O,3
O=CC(O)CCC(=O)O>>NCC(O)CCC(=O)O,3
